[2025-10-23 11:31:01] Target: QSO_sim_z0.8545_MgIIBlueDeep_159.1891m0.8175.fits, z=0.854499101638794, MAG=21.233442306518555, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:01] Target: QSO_sim_z0.8545_MgIIBlueDeep_159.1891m0.8175.fits, z=0.854499101638794, MAG=21.233442306518555, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:01] Target: QSO_sim_z0.85_MgIIBlueDeep_27.1359m30.4182.fits, z=0.8500000238418579, MAG=21.368942260742188, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:01] Target: QSO_sim_z0.85_MgIIBlueDeep_27.1359m30.4182.fits, z=0.8500000238418579, MAG=21.368942260742188, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z0.7916_MgIIBlueWide_318.8519m34.6928.fits, z=0.7915788888931274, MAG=18.623109817504883, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z0.7916_MgIIBlueWide_318.8519m34.6928.fits, z=0.7915788888931274, MAG=18.623109817504883, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z1.95_MgIIBlueDeep_35.0001m29.8236.fits, z=1.9500000476837158, MAG=20.869007110595703, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z1.95_MgIIBlueDeep_35.0001m29.8236.fits, z=1.9500000476837158, MAG=20.869007110595703, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z1.3_MgIIBlueDeep_166.8962m2.6495.fits, z=1.2999999523162842, MAG=22.01266860961914, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:02] Target: QSO_sim_z1.3_MgIIBlueDeep_166.8962m2.6495.fits, z=1.2999999523162842, MAG=22.01266860961914, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.9_MgIIBlueDeep_202.2614m1.4436.fits, z=0.8999999761581421, MAG=20.709980010986328, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.9_MgIIBlueDeep_202.2614m1.4436.fits, z=0.8999999761581421, MAG=20.709980010986328, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.6269_MgIIBlueWide_87.8323m49.9725.fits, z=0.6268529891967773, MAG=19.179901123046875, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.6269_MgIIBlueWide_87.8323m49.9725.fits, z=0.6268529891967773, MAG=19.179901123046875, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.95_MgIIBlueWide_219.62m14.9537.fits, z=0.949999988079071, MAG=20.301387786865234, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:03] Target: QSO_sim_z0.95_MgIIBlueWide_219.62m14.9537.fits, z=0.949999988079071, MAG=20.301387786865234, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:04] Target: QSO_sim_z2.05_MgIIBlueDeep_7.1459m35.4731.fits, z=2.049999952316284, MAG=20.332843780517578, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:04] Target: QSO_sim_z2.05_MgIIBlueDeep_7.1459m35.4731.fits, z=2.049999952316284, MAG=20.332843780517578, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:05] Target: QSO_sim_z0.75_MgIIBlueDeep_219.5513p1.5286.fits, z=0.75, MAG=20.142221450805664, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:05] Target: QSO_sim_z0.75_MgIIBlueDeep_219.5513p1.5286.fits, z=0.75, MAG=20.142221450805664, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:06] Target: QSO_sim_z1.9_MgIIBlueDeep_7.3074m35.125.fits, z=1.899999976158142, MAG=22.016176223754883, fobs=0.0, Warning: 5705 NaN values in target flux replaced with floor value
[2025-10-23 11:31:06] Target: QSO_sim_z1.9_MgIIBlueDeep_7.3074m35.125.fits, z=1.899999976158142, MAG=22.016176223754883, fobs=0.0, Warning: 5705 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:06] Target: QSO_sim_z0.973_MgIIBlueWide_191.1938m9.1235.fits, z=0.9729999899864197, MAG=19.568838119506836, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:06] Target: QSO_sim_z0.973_MgIIBlueWide_191.1938m9.1235.fits, z=0.9729999899864197, MAG=19.568838119506836, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:07] Target: QSO_sim_z0.9724_MgIIBlueDeep_166.4312m2.1792.fits, z=0.9723885655403137, MAG=20.25583839416504, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:07] Target: QSO_sim_z0.9724_MgIIBlueDeep_166.4312m2.1792.fits, z=0.9723885655403137, MAG=20.25583839416504, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:08] Target: QSO_sim_z1.2231_MgIIBlueDeep_49.0107m32.8181.fits, z=1.2231487035751343, MAG=20.45441246032715, fobs=0.0, Warning: 18018 NaN values in target flux replaced with floor value
[2025-10-23 11:31:08] Target: QSO_sim_z1.2231_MgIIBlueDeep_49.0107m32.8181.fits, z=1.2231487035751343, MAG=20.45441246032715, fobs=0.0, Warning: 18018 NaN values in noise flux replaced with floor value
[2025-10-23 11:31:12] Target: QSO_sim_z0.6878_MgIIBlueWide_192.4169m7.8383.fits, z=0.6877761483192444, MAG=18.434707641601562, fobs=0.0, Warning: 13063 NaN values in target flux replaced with floor value
